56.51,56,55.88,55.66,55.29,55.02
56.51,56.51,56,55.88,55.66,55.29
56.98,56.51,56.51,56,55.88,55.66
56.88,56.98,56.51,56.51,56,55.88
56.66,56.88,56.98,56.51,56.51,56
56.86,56.66,56.88,56.98,56.51,56.51
56.66,56.86,56.66,56.88,56.98,56.51
56.66,56.66,56.86,56.66,56.88,56.98
56.7,56.66,56.66,56.86,56.66,56.88
56.59,56.7,56.66,56.66,56.86,56.66
56.67,56.59,56.7,56.66,56.66,56.86
56.57,56.67,56.59,56.7,56.66,56.66
56.98,56.57,56.67,56.59,56.7,56.66
56.98,56.98,56.57,56.67,56.59,56.7
58.1,56.98,56.98,56.57,56.67,56.59
59.1,58.1,56.98,56.98,56.57,56.67
59.26,59.1,58.1,56.98,56.98,56.57
59.25,59.26,59.1,58.1,56.98,56.98
59.51,59.25,59.26,59.1,58.1,56.98
59.51,59.51,59.25,59.26,59.1,58.1
60.13,59.51,59.51,59.25,59.26,59.1
61.3,60.13,59.51,59.51,59.25,59.26
60.83,61.3,60.13,59.51,59.51,59.25
61.05,60.83,61.3,60.13,59.51,59.51
61.05,61.05,60.83,61.3,60.13,59.51
62.29,61.05,61.05,60.83,61.3,60.13
62.45,62.29,61.05,61.05,60.83,61.3
62.55,62.45,62.29,61.05,61.05,60.83
63.15,62.55,62.45,62.29,61.05,61.05
65.02,63.15,62.55,62.45,62.29,61.05
65.02,65.02,63.15,62.55,62.45,62.29
64.66,65.02,65.02,63.15,62.55,62.45
65.54,64.66,65.02,65.02,63.15,62.55
66.14,65.54,64.66,65.02,65.02,63.15
67.42,66.14,65.54,64.66,65.02,65.02
69.36,67.42,66.14,65.54,64.66,65.02
69.36,69.36,67.42,66.14,65.54,64.66
67.86,69.36,69.36,67.42,66.14,65.54
68.64,67.86,69.36,69.36,67.42,66.14
68.43,68.64,67.86,69.36,69.36,67.42
68.2,68.43,68.64,67.86,69.36,69.36
68.65,68.2,68.43,68.64,67.86,69.36
68.65,68.65,68.2,68.43,68.64,67.86
68.97,68.65,68.65,68.2,68.43,68.64
68.9,68.97,68.65,68.65,68.2,68.43
70.22,68.9,68.97,68.65,68.65,68.2
70.95,70.22,68.9,68.97,68.65,68.65
71.78,70.95,70.22,68.9,68.97,68.65
71.78,71.78,70.95,70.22,68.9,68.97
69.54,71.78,71.78,70.95,70.22,68.9
69.58,69.54,71.78,71.78,70.95,70.22
67.53,69.58,69.54,71.78,71.78,70.95
68.23,67.53,69.58,69.54,71.78,71.78
65.13,68.23,67.53,69.58,69.54,71.78
65.13,65.13,68.23,67.53,69.58,69.54
62.06,65.13,65.13,68.23,67.53,69.58
64.64,62.06,65.13,65.13,68.23,67.53
